linux-firmware-radeon 1:20260519-1
linux-firmware-realtek 1:20260519-1
linux-firmware-whence 1:20260519-1
lirc 1:0.10.2-6.1
live-media 2025.05.24-1.2
lld 22.1.6-1.1
llhttp 9.3.1-1.1
llvm 22.1.6-2
llvm-libs 22.1.6-2
llvm21-libs 21.1.8-1.1
lm_sensors 1:3.6.2-1.1
lmdb 0.9.35-1.1
logrotate 3.22.0-1.1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2.2
lua 5.5.0-2.2
lua51 5.1.5-13.1
lua54 5.4.8-6.1
lv2 1.18.10-2.1
lvm2 2.03.41-1.1
lz4 1:1.10.0-3
lzo 2.10-5.1
m4 1.4.21-2.1
mailcap 2.1.54-2
make 4.4.1-3.1
man-db 2.13.1-1.1
man-pages 6.18-1
md4c 0.5.3-1.1
mdadm 4.6-2
meld 3.22.3-2
mesa 2:26.1.1-1
mesa-utils 9.0.0-7.1
micro 2.0.15-2.1
mjpegtools 2.2.1-4.1
mkinitcpio 41-2
mkinitcpio-busybox 1.36.1-1.1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1.1
mpdecimal 4.0.1-3.1
mpfr 4.2.2-1.1
mpg123 1.33.5-1.1
mtdev 1.1.7-1.1
mtools 1:4.0.49-1.1
nano 9.0-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
ncurses 6.6-2.1
neon 0.37.1-1
netctl 1.29-2
nettle 4.0-1.1
networkmanager 1.56.1-1
networkmanager-openvpn 1.12.5-1.1
networkmanager-vpn-plugin-openvpn 1.12.5-1.1
nfs-utils 2.9.1-1.1
nfsidmap 2.9.1-1.1
nftables 1:1.1.6-3
nilfs-utils 2.3.0-1.1
noto-fonts 1:2026.06.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1.1
nspr 4.39-1.1
nss 3.124-1.1
nss-mdns 0.15.1-2.1
numactl 2.0.19-1
ocl-icd 2.3.4-1.1
oh-my-zsh-git r7425.7ed475cb5-1
oniguruma 6.9.10-1.1
open-vm-tools 6:13.1.0-1.1
openal 1.25.2-1.1
opencore-amr 0.1.6-2.1
openexr 3.4.12-1.1
openh264 2.6.0-2.1
openjpeg2 2.5.4-1.1
openjph 0.27.3-1.1
openssh 10.3p1-1.1
openssl 3.6.2-2.1
openvpn 2.7.4-1.1
opus 1.6.1-1.1
orc 0.4.42-1.1
os-prober 1.84-1.1
p11-kit 0.26.2-1.1
pacman 7.1.0.r9.g54d9411-3
pacman-contrib 1.13.1-1.2
pacman-mirrorlist 20260406-1
pacutils 0.15.0-3
pahole 1:1.31-2.1
pam 1.7.2-2.1
pambase 20250719-1
pango 1:1.57.1-1.1
pangomm 2.46.4-2.1
pangomm-2.48 2.56.1-1.2
parallel 20260522-1
paru 2.1.0-3
patch 2.8-1.1
pavucontrol 1:6.2-1.1
pciutils 3.15.0-1.1
pcre 8.45-4.1
pcre2 10.47-1.1
pcsclite 2.5.0-1.1
perl 5.42.2-1.1
perl-class-inspector 1.36-10
perl-clone 0.50-1.1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-html-parser 3.85-1.1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.17-1
perl-http-date 6.06-5
perl-http-message 7.01-2
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-libwww 6.83-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-net-http 6.24-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.34-2
perl-www-robotrules 6.03-1
perl-xml-parser 2.59-1.1
perl-xml-writer 0.900-6
pinentry 1.3.2-2.1
pipewire 1:1.6.6-1.1
pipewire-alsa 1:1.6.6-1.1
pipewire-audio 1:1.6.6-1.1
pipewire-pulse 1:1.6.6-1.1
pixman 0.46.4-1.1
pkcs11-helper 1.31.0-1.1
pkgconf 2.5.1-1.1
pkgfile 25-2.1
plocate 1.1.24-1.1
plymouth 26.134.222-2.1
polkit 127-3.1
poppler 26.05.0-1.1
poppler-glib 26.05.0-1.1
popt 1.19-2.1
portaudio 1:19.7.0-4.1
power-profiles-daemon 0.30-3
powerline-fonts 2.8.4-4.1
ppp 2.5.2-1.1
procps-ng 4.0.6-1.1
projectm 3.1.12-5.1
protobuf 34.1-1.1
psmisc 23.7-2.1
pv 1.10.5-1.1
python 3.14.5-2
python-annotated-types 0.7.0-3
python-cairo 1.29.0-2.1
python-defusedxml 0.7.1-8
python-gobject 3.56.3-1
python-jinja 1:3.1.6-3
python-markupsafe 3.0.3-1.1
python-orjson 3.11.9-1.1
python-packaging 26.2-1
python-psutil 7.2.2-1.1
python-pydantic 2.13.4-1
python-pydantic-core 3:2.46.4-1.1
python-shtab 1.8.0-2
python-typing-inspection 0.4.2-2
python-typing_extensions 4.15.0-3
qca-qt6 2.3.10-7
qemu-guest-agent 11.0.1-1
qrencode 4.1.1-4.10
qt6-5compat 6.11.1-1.1
qt6-base 6.11.1-1.1
qt6-declarative 6.11.1-2.1
qt6-shadertools 6.11.1-1.1
qt6-translations 6.11.1-1
raptor 2.0.16-9.1
rate-mirrors 0.28.3-2
rav1e 0.8.1-2.1
readline 8.3.003-1.1
rebuild-detector 4.4.5-1
reflector 2023-5
ripgrep 15.1.0-2
rpcbind 1.2.8-1.1
rsync 3.4.3-1.1
rtkit 0.14-1.1
rtmpdump 1:2.6-2.1
rubberband 4.0.0-2.1
s-nail 14.9.25-1.1
sbc 2.2-1.1
scx-manager 1.15.11-1
scx-scheds 1.1.1-1
scx-tools 1.1.1-1.1
sd 1.1.0-1.1
sdl12-compat 1.2.68-2.1
sdl2-compat 2.32.68-1.1
sdl3 3.4.8-1.1
sdl_image 1.2.12-9.1
sed 4.10-1.1
serd 0.32.8-1.1
sg3_utils 1.48-1.2
shaderc 2026.2-1.1
shadow 4.18.0-1.1
shared-mime-info 2.4-3.1
shelly 2.3.2.0-1
slang 2.3.3-4.1
smartmontools 7.5-1.1
smbclient 2:4.24.3-1.1
snappy 1.2.2-3.1
sndio 1.10.0-1.4
sof-firmware 2025.12.2-1
sord 0.16.22-1.1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.1-1.1
source-highlight 3.1.9-18.1
spandsp 0.0.6-7
spdlog 1.17.0-2.1
speex 1.2.1-2.1
speexdsp 1.2.1-2.1
spice-vdagent 0.23.0-1.1
spirv-tools 1:1.4.350.0-1.1
sqlite 3.53.1-1
sratom 0.6.22-1.1
srt 1.5.5-1.1
sudo 1.9.17.p2-2.1
svt-av1 4.1.0-2
svt-hevc 1.5.1-4.1
sysfsutils 2.1.1-2.2
systemd 260.2-2
systemd-libs 260.2-2
systemd-resolvconf 260.2-2
systemd-sysvcompat 260.2-2
taglib 2.3-1.1
talloc 2.4.4-1.1
tar 1.35-2.1
tcl 8.6.16-1.1
tdb 1.4.15-1.1
tealdeer 1.8.1-2.1
tevent 1:0.17.1-2.1
texinfo 7.3-1.1
thin-provisioning-tools 1.3.2-1.1
tinysparql 3.11.1-1
tpm2-tss 4.1.3-1.1
tslib 1.24-1.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-fantasque-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-opensans 3.003-1
twolame 0.4.0-4.1
tzdata 2026b-1.1
ufw 0.36.2-7
ufw-extras 1.2.0-1
unrar 1:7.2.6-1.1
unzip 6.0-23.1
upower 1.91.2-1.1
uriparser 1.0.2-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
util-linux 2.42.1-1.1
util-linux-libs 2.42.1-1.1
v4l-utils 1.32.0-2.1
vapoursynth 75-3.1
vid.stab 1.1.1-2.1
vim 9.2.0573-1.1
vim-runtime 9.2.0573-1.1
virtualbox-guest-utils 7.2.8-2
vlc-plugin-a52dec 3.0.23_2-5.1
vlc-plugin-aalib 3.0.23_2-5.1
vlc-plugin-alsa 3.0.23_2-5.1
vlc-plugin-aom 3.0.23_2-5.1
vlc-plugin-archive 3.0.23_2-5.1
vlc-plugin-aribb24 3.0.23_2-5.1
vlc-plugin-aribb25 3.0.23_2-5.1
vlc-plugin-ass 3.0.23_2-5.1
vlc-plugin-avahi 3.0.23_2-5.1
vlc-plugin-bluray 3.0.23_2-5.1
vlc-plugin-caca 3.0.23_2-5.1
vlc-plugin-cddb 3.0.23_2-5.1
vlc-plugin-chromecast 3.0.23_2-5.1
vlc-plugin-dav1d 3.0.23_2-5.1
vlc-plugin-dbus 3.0.23_2-5.1
vlc-plugin-dbus-screensaver 3.0.23_2-5.1
vlc-plugin-dca 3.0.23_2-5.1
vlc-plugin-dvb 3.0.23_2-5.1
vlc-plugin-dvd 3.0.23_2-5.1
vlc-plugin-faad2 3.0.23_2-5.1
vlc-plugin-ffmpeg 3.0.23_2-5.1
vlc-plugin-firewire 3.0.23_2-5.1
vlc-plugin-flac 3.0.23_2-5.1
vlc-plugin-fluidsynth 3.0.23_2-5.1
vlc-plugin-freetype 3.0.23_2-5.1
vlc-plugin-gme 3.0.23_2-5.1
vlc-plugin-gnutls 3.0.23_2-5.1
vlc-plugin-gstreamer 3.0.23_2-5.1
vlc-plugin-inflate 3.0.23_2-5.1
vlc-plugin-jack 3.0.23_2-5.1
vlc-plugin-journal 3.0.23_2-5.1
vlc-plugin-jpeg 3.0.23_2-5.1
vlc-plugin-kate 3.0.23_2-5.1
vlc-plugin-libsecret 3.0.23_2-5.1
vlc-plugin-lirc 3.0.23_2-5.1
vlc-plugin-live555 3.0.23_2-5.1
vlc-plugin-lua 3.0.23_2-5.1
vlc-plugin-mad 3.0.23_2-5.1
vlc-plugin-matroska 3.0.23_2-5.1
vlc-plugin-mdns 3.0.23_2-5.1
vlc-plugin-modplug 3.0.23_2-5.1
vlc-plugin-mpeg2 3.0.23_2-5.1
vlc-plugin-mpg123 3.0.23_2-5.1
vlc-plugin-mtp 3.0.23_2-5.1
vlc-plugin-musepack 3.0.23_2-5.1
vlc-plugin-nfs 3.0.23_2-5.1
vlc-plugin-notify 3.0.23_2-5.1
vlc-plugin-ogg 3.0.23_2-5.1
vlc-plugin-opus 3.0.23_2-5.1
vlc-plugin-png 3.0.23_2-5.1
vlc-plugin-pulse 3.0.23_2-5.1
vlc-plugin-samplerate 3.0.23_2-5.1
vlc-plugin-sdl 3.0.23_2-5.1
vlc-plugin-sftp 3.0.23_2-5.1
vlc-plugin-shout 3.0.23_2-5.1
vlc-plugin-smb 3.0.23_2-5.1
vlc-plugin-soxr 3.0.23_2-5.1
vlc-plugin-speex 3.0.23_2-5.1
vlc-plugin-srt 3.0.23_2-5.1
vlc-plugin-svg 3.0.23_2-5.1
vlc-plugin-tag 3.0.23_2-5.1
vlc-plugin-theora 3.0.23_2-5.1
vlc-plugin-twolame 3.0.23_2-5.1
vlc-plugin-udev 3.0.23_2-5.1
vlc-plugin-upnp 3.0.23_2-5.1
